GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
shareAride,com.mycompany.app.repositories,UserRepository,39,445,15,27,10,106,12,27,1,17
shareAride,com.mycompany.app.repositories,RideRepository,266,672,48,44,56,154,39,32,2,23
shareAride,com.mycompany.app,SarService,1068,0,104,0,197,0,74,0,22,0
shareAride,com.mycompany.app,Config,10,0,0,0,4,0,3,0,3,0
shareAride,com.mycompany.app,AppHealthCheck,17,0,0,0,4,0,2,0,2,0
shareAride,com.mycompany.app,App,34,0,0,0,9,0,3,0,3,0
shareAride,com.mycompany.app.utilities,UniqueIdGenerator,3,8,0,0,1,2,1,2,1,2
shareAride,com.mycompany.app.models,RideRequestStatus,6,33,0,0,2,15,2,8,2,8
shareAride,com.mycompany.app.models,Ride,4,117,0,0,2,46,1,24,1,24
shareAride,com.mycompany.app.models,Report,9,21,0,0,4,9,1,5,1,5
shareAride,com.mycompany.app.models,JoinRequest,3,59,0,0,1,25,1,13,1,13
shareAride,com.mycompany.app.models,Rating,19,44,0,0,9,18,5,9,5,9
shareAride,com.mycompany.app.models,LocationInfo,0,46,0,0,0,20,0,10,0,10
shareAride,com.mycompany.app.models,Car,0,56,0,0,0,24,0,12,0,12
shareAride,com.mycompany.app.models,RideDateTime,11,15,0,0,5,7,3,3,3,3
shareAride,com.mycompany.app.models,User,7,79,0,0,2,31,1,17,1,17
shareAride,com.mycompany.app.models,Message,29,14,0,0,12,7,7,3,7,3
